Year    Catch  Index
1965   93.510   1.78
1966  212.444   1.31
1967  195.032   0.91
1968  382.712   0.96
1969  320.430   0.88
1970  402.467   0.90
1971  365.557   0.87
1972  606.084   0.72
1973  377.642   0.57
1974  318.836   0.45
1975  309.374   0.42
1976  389.020   0.42
1977  276.901   0.49
1978  254.251   0.43
1979  170.006   0.40
1980   97.181   0.45
1981   90.523   0.55
1982  176.532   0.53
1983  216.181   0.58
1984  228.672   0.64
1985  212.177   0.66
1986  231.179   0.65
1987  136.942   0.61
1988  212.000   0.63
